Torrendiella setulata
Torula ligniperda
Trametes cinnabarina
Trametes gibbosa
Trametes hirsuta
Trametes pubescens
Trametes versicolor
Trechispora candidissima
Trechispora farinacea
Trematosphaeria communis
Trematosphaeria fissa
Tremella lutescens
Tremella mesenterica
Triadelphia heterospora
Triadelphia uniseptata
Trichaptum biforme
Trichaptum sector
Trichia favoginea
Trichocladium canadense
Trichocladium griseum
Trichoderma citrinoviride
Trichoderma citrinum
Trichoderma hamatum
Trichoderma harzianum
Trichoderma koningii
Trichoderma viride
Trichopeziza acerina
Trichothecium roseum
Tricladium angulatum
Tricladium castaneicola
Tricladium splendens
Trifurcospora irregularis
Trimmatostroma salicis
Trinacrium gracile
Trinacrium incurvum
Trinacrium parvisporum
Trinacrium robustum
Trinacrium tothii
Tripospermum myrti
Tubercularia nigricans
Tubeufia palmarum
Tulasnella bifrons
Tulasnella violea
Turbinellus floccosus
Tympanis acericola
Tympanis acerina
Tympanis pulchella
Typhula erythropus
Typhula setipes
Tyromyces chioneus
Tyromyces galactinus
Umbelopsis isabellina
Umbelopsis versiformis
